Hour,Zone0_t_eft,Zone1_t_eft,Zone2_t_eft,Zone3_t_eft,Zone4_t_eft,Zone5_t_eft,GHX0_t_eft,GHX0_t_mean,GHX0_q_ghe,GHX0_t_exit,GHX1_t_eft,GHX1_t_mean,GHX1_q_ghe,GHX1_t_exit,GHX2_t_eft,GHX2_t_mean,GHX2_q_ghe,GHX2_t_exit
89,6.41669871,9.02845430,8.75650722,8.65263141,8.63392601,8.20873871,8.04142758,6.85675519,-4.87311398,5.67208280,6.85675519,6.33986342,-2.12621862,5.82297166,6.58107958,6.22883486,-1.44894797,5.87659015
90,5.95783909,5.93260624,5.50380485,4.77503468,4.74562956,3.98452911,3.61056320,5.73543283,4.48645683,7.86030246,5.73543283,6.02759604,0.61687438,6.31975925,5.89125321,6.03393723,0.30126352,6.17662126
91,5.83636948,5.98668019,5.57953084,4.85998748,4.83879414,4.11680672,3.77827222,5.51087197,3.85316893,7.24347172,5.51087197,5.91608967,0.90117308,6.32130737,5.72698808,5.96137680,0.52126254,6.19576552
92,5.72703081,5.60439407,5.24295888,4.48275961,4.46194643,3.81457478,3.53901001,5.30164258,4.40190395,7.06427514,5.30164258,5.81937469,1.29295638,6.33710680,5.57776637,5.89761874,0.79878213,6.21747111
93,5.67906118,5.53846093,5.22950199,4.44161137,4.42966757,3.76557804,3.53861524,5.22266575,4.16667984,6.90671627,5.22266575,5.77222314,1.35971557,6.32178053,5.51576303,5.86568764,0.86578391,6.21561226
94,5.72802759,5.35551370,4.89250906,4.89250906,4.87859431,3.79988944,3.49547186,5.31264966,2.92160358,7.12982746,5.31264966,5.81621873,0.80962314,6.31978780,5.58121983,5.89580788,0.50578516,6.21039593
95,5.72514549,5.27181842,4.81635650,4.81427753,4.80102561,3.68257552,3.51578893,5.30320640,2.92014101,7.09062386,5.30320640,5.81431917,0.83501555,6.32543195,5.57579988,5.89582619,0.52283363,6.21585251
96,5.70739803,5.20457294,4.77704123,4.70072769,4.68796166,3.58755175,3.53993996,5.26915711,3.01566251,6.99837426,5.26915711,5.79805103,0.92236280,6.32694496,5.55123387,5.88587135,0.58358992,6.22050882
97,5.68282264,5.18778569,4.78857570,4.62578411,4.61406228,3.56110151,3.53598023,5.22430809,3.15298890,6.91263595,5.22430809,5.77519693,1.02879686,6.32608578,5.51811548,5.87105940,0.65913043,6.22400332
98,5.66007082,5.14584869,4.76247817,4.57329121,4.56196371,3.53343984,3.52324221,5.18460768,3.22772363,6.84597315,5.18460768,5.75357588,1.10539923,6.32254408,5.48805739,5.85665760,0.71612156,6.22525782
99,5.63254197,5.10473990,4.74338907,4.50546364,4.49476407,3.51344296,3.50382645,5.13776347,3.36582313,6.77170048,5.13776347,5.72726524,1.21434222,6.31676701,5.45216441,5.83868776,0.79621749,6.22521111
