Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
37,5.1285217573825355,5.912012191982048,5.285965594943621,4.801009241559685,4.750951324567881,4.2277414419055965,4.065667442141124,4.698853180810339,4.969697862347376,4.69885318081034,5.206686958692282,5.310034780279859,5.332038919479554,5.714520736574225,5.650371698212342,1.9107114901125422,1.5324473929334674,1.0270061687899184
38,5.307410670866159,6.836889050724734,5.852933383011541,5.687194167693379,5.6222054203629295,4.974165334070257,4.778108169712084,4.998173561026702,5.195326137105281,4.998173561026702,5.367834641174037,5.435507280878587,5.21823895234132,5.7374957213213715,5.675688424651894,0.49052551127351296,0.8239741344787528,0.5353635010205818
39,5.448965249074287,7.519792027830041,6.51494093441942,6.421139258440967,6.375095591299184,5.723800236794948,5.539420087349009,5.268633066562193,5.3844132400367855,5.2686330665621925,5.485720891827057,5.522738973688575,4.997846045775377,5.702808717091921,5.661064707340363,-0.5645380947396739,0.45258575137797974,0.28838216064545547
40,5.534131805083339,7.424847807778942,6.649389918631206,6.410393714319309,6.374294984700177,5.8395006040604365,5.667994465948419,5.414978310274524,5.491210963322028,5.414978310274524,5.557914534738595,5.583184195667695,5.161962154600629,5.700850759202666,5.675157428013361,-0.648128607214931,0.3661468013207084,0.23559951269705606
41,5.559065271999432,7.138068918634854,6.478456603353034,6.152281749738216,6.105563490153942,5.513563081344054,5.314020042257074,5.404288513034721,5.50428696789179,5.404288513034721,5.591785615891728,5.621669048122449,5.494556983812368,5.779282718748735,5.7390511283531085,0.23126484739558256,0.4803613986787188,0.3007290213034329
42,5.601600772149525,7.04764718921173,6.643673394277008,6.245041259405547,6.217313802898104,5.652907729037246,5.405400340587214,5.459726720888749,5.5504965252154905,5.4597267208887486,5.629920104001388,5.660005625788422,5.514053101190284,5.800113487114028,5.769514726361354,0.14827823526026987,0.4645252336129594,0.298893761884498
43,5.4403099067656875,5.458856377213958,5.140538022765278,4.4160659663557595,4.394273381838687,3.848049505677615,3.5702883097944182,5.011112693750034,5.289360556995862,5.011112693750033,5.532827437335962,5.612823449359773,6.451937077705649,6.054542180921892,5.936286341723686,4.0722092910286545,1.4745250356359185,0.9142048193070419
44,5.412463885971286,5.545420221767736,5.257176088597198,4.539715366064481,4.5246263329448615,3.9915446612673575,3.751423811745638,4.946106170039234,5.2428160820022205,4.946106170039233,5.502437254969834,5.606347090507361,6.140788528332829,6.058768339900436,5.969878099012502,3.7294408830692625,1.7366991972878694,1.134835042947281
45,5.337212944275905,5.262583731886215,5.021094631926841,4.288512641383608,4.2746028055865,3.7901257759817564,3.605727564842001,4.811641619764325,5.142037446844594,4.811641619764325,5.431133795539828,5.560270655625974,6.017555674686649,6.0506259713153305,5.9785038644073545,4.483685229831619,2.303321623280844,1.555024633126899
46,5.322136681371828,5.230152289741453,5.032733689773255,4.292571577842386,4.28492272297636,3.7862777010907482,3.6410082031429223,4.782182985274937,5.118543747556696,4.782182985274938,5.412859414553235,5.554814320017693,5.923357767406952,6.043535843831535,5.991084892478689,4.396215635593706,2.4295924014494417,1.6806711312172826
